"POT 1","...14","POT 3","...17"
"POT 1",NA,"POT 3",NA
"Real Madrid (ESP)","124","Borussia Dortmund (GER)","78"
"Eintracht Frankfurt (GER)","61","RB Salzburg (AUT)","71"
"Manchester City (ENG)","134","Shakhtar Donetsk (UKR)","71"
"Bayern Munchen (GER)","138","Internazionale (ITA)","67"
"AC Milan (ITA)","38","Napoli (ITA)","64"
"Paris St. Germain (FRA)","112","Benfica (POR)","61"
"FC Porto (POR)","79","Sporting CP (POR)","55.5"
"Ajax Amsterdam (NED)","82.5","Bayer Leverkusen (GER)","53"
"POT 2",NA,"POT 4",NA
"Liverpool (ENG)","134","Rangers (SCO)","50.25"
"Chelsea (ENG)","123","Dinamo Zagreb (CRO)","49.5"
"Barcelona (ESP)","114","Crvena zvezda (SRB)","46"
"Juventus (ITA)","107","Olympique Marseille (FRA)","44"
"Atletico Madrid (ESP)","105","Viktoria Plzen (CZE)","31"
"Sevilla (ESP)","90","FC Kobenhavn (DEN)","40.5"
"RB Leipzig (GER)","83","Club Brugge (BEL)","38.5"
"Tottenham Hotspur (ENG)","83","Celtic (SCO)","33"
