"POT 1","...8","POT 3","...11"
"POT 1",NA,"POT 3",NA
"Manchester United (ENG)","105","Apollon Limassol (CYP)","14"
"AS Roma (ITA)","100","Real Betis (ESP)","19.171"
"Arsenal","80","FC Midtjylland (DEN)","19"
"Lazio (ITA)","53","Bodø/Glimt (NOR)","17"
"Sporting Braga (POR)","46","Union Berlin (GER)","15.042"
"Dynamo Kyiv (UKR)","44","Freiburg (GER)","15.042"
"Olympiakos Piraeus (GRE)","41","Nantes (FRA)","12.016"
"Feyenoord (NED)","40","Sturm Graz (AUT)","7.77"
"POT 2",NA,"POT 4",NA
"PSV Eindhoven (NED)","33","Austria Wien (AUT)","7.77"
"Stade Rennais (FRA)","33","Hearts (SCO)","7.38"
"AA Gent (BEL)","27.5","Omonoia Nicosia (CYP)","7"
"AS Monaco (FRA)","26","Sivasspor (TUR)","6.5"
"Real Sociedad (ESP)","26","Dnipro-1 (UKR)","6.36"
"Qarabag (AZE)","25","Union St. Gilloise (BEL)","6.12"
"Sheriff Tiraspol (MDA)","22","Trabzonspor (TUR)","5.5"
"Ludogorets (BUL)","22","Silkeborg (DEN)","5.435"
